edit_history_tweet_ids,created_at,text,id,author_id
['1878217827737543148'],2025-01-11T23:10:00.000Z,"2004 Coca Cola Cafe Serving Bowl https://t.co/2wE2qDKIYm via @Etsy

Get 25% Off Orders of 2 or More Items

#cocacola #coke #cocacolacafe #kitchenware #dinnerware #servingbowl #saladbowl #bowl #cocacolacollector #cokecollectibles #vintagestyle #tableware #cokecollector",1878217827737543148,860601814659592192
['1878210346835677354'],2025-01-11T22:40:16.000Z,"Hey @WorldofCocaCola @CocaCola 
I was Sexually Harassed by your Director of Human Resources in Canada 🇨🇦 👇
#CocaCola #Sexual #Harassment 
Report them to the Police,  I did, Speak up. https://t.co/7jw0bjFmZj",1878210346835677354,2707012718
['1878205244703932490'],2025-01-11T22:20:00.000Z,"2002 Coca Cola Checkered Mixing Bowl https://t.co/NVzuHOQ6tS via @Etsy

#OnSale - 15% Off and #FreeShipping thru 1/13/25

#cocacola #coke #mixingbowl #bowl #servingbowl #cocacolacollector #cokecollectibles #kitchenware #bakeware #dinnerware #VintageEtsy #etsysale #cookware",1878205244703932490,860601814659592192
['1878204499749216462'],2025-01-11T22:17:02.000Z,"@CollinRugg I could see 2 12 packs but not 30, good grief #CocaCola",1878204499749216462,824287422624235520
['1878133619543203840'],2025-01-11T17:35:23.000Z,"Brand New and Sealed Japan Special Corinthian / Coca Cola Corinthian Microstars Figures 1 Pack

Available to order here: ➡️ https://t.co/TTVaA6FaFl

#Corinthians #Corinthian #figure #figures #cocacola #japan",1878133619543203840,1538040307480244224
['1878131856710766719'],2025-01-11T17:28:23.000Z,Yesterday is today and tomorrow never comes. BACK!!! So grab a bottle of Cocacola #CocaCola,1878131856710766719,1754106690520096769
['1878123225114087741'],2025-01-11T16:54:05.000Z,Coca-Cola family-pack money-back bottle 4.5L carrier. Holds six cans | bottles. English French wording. Great for home bar area. https://t.co/mI6GO56M45 via @Etsy #BuyfromGroovy #antiques #homebar #CocaCola #Cokefamilypack #Cokecarrier #vintageadvertising #etsysellers https://t.co/7w7sIsiLXg,1878123225114087741,1457838332495466499
['1878122956045386162'],2025-01-11T16:53:01.000Z,Coke | Coca Cola 20th Anniversary plaqued poster. Drink Coca-Cola Take Some Home Today. https://t.co/TZSEcl9psg via @Etsy #BuyfromGroovy #antiques #homedecor #walldecor #homebar #bardecor #Cokeposter #CocaCola #vintageadvertising #etsysellers https://t.co/Lm4qiZv8Hr,1878122956045386162,1457838332495466499
['1878120578910949611'],2025-01-11T16:43:34.000Z,Is it me or are #cocacola drinks tasting flat nowadays??,1878120578910949611,25249886
['1878099857648287820'],2025-01-11T15:21:14.000Z,Five Spice Cola Chicken #recipe on https://t.co/4jNR6yoC5z #food #foodporn #foodpics #foodie #yum #cook #cooking #homecook #homemade #homecooking #comfortfood #healthy #healthyfood #kokkiescooking #chinesefood #fivespice #colachicken #fivespicepowder #fivespicechicken #cocacola https://t.co/mcVBMFomcg,1878099857648287820,748563646175916033
